|----------------------------------------------------------|
|RESULTADO = {21 25 33 41 47 53}                           |
|----------------------------------------------------------|
|          |                                     |         |
|CANDIDATO |NÚMEROS DA APOSTA                    |ACERTOS  |
|          |                                     |         |
|----------------------------------------------------------|
|   0001   |{01 15 25 34 47 60}                  |    2    |
|   0002   |{03 16 20 29 38 46 58}               |    0    |
|   0003   |{02 13 30 36 49 53}                  |    1    |
|   0004   |{04 15 30 36 47 55}                  |    1    |
|   0005   |{08 17 27 30 37 46 60}               |    0    |
|   0006   |{02 12 18 22 29 36 40 44 50 60}      |    0    |
|   0007   |{03 11 15 21 28 35 40 47 52 60}      |    2    |
|   0008   |{06 10 18 21 28 31 37 45 50 58}      |    1    |
|   0009   |{06 12 27 31 42 56}                  |    0    |
|   0010   |{01 09 16 22 28 31 41 48 51 60}      |    1    |
|   0011   |{04 08 16 23 25 36 37 46 49 60}      |    1    |
|   0012   |{04 07 14 20 27 35 37 46 52 60}      |    0    |
|   0013   |{03 08 19 22 35 40 44 51 58}         |    0    |
|   0014   |{06 09 16 20 28 33 37 46 54 57}      |    1    |
|   0015   |{02 10 19 29 32 40 44 58}            |    0    |
|   0016   |{04 12 20 28 30 40 50 57}            |    0    |
|   0017   |{06 15 22 35 44 50 58}               |    0    |
|   0018   |{03 09 20 27 34 39 46 51 57}         |    0    |
|   0019   |{03 09 13 22 30 32 40 47 49 59}      |    1    |
|   0020   |{04 10 19 25 35 40 47 54 57}         |    2    |
|   0021   |{04 08 18 28 30 41 46 53 60}         |    2    |
|   0022   |{06 09 13 21 25 33 41 47 53 60}      |    6    |
|   0023   |{03 20 29 32 48 58}                  |    0    |
|   0024   |{04 10 17 25 31 37 45 52 57}         |    1    |
|   0025   |{01 12 21 32 43 58}                  |    1    |
|   0026   |{01 13 16 22 33 40 45 53 58}         |    2    |
|   0027   |{01 11 17 28 35 42 47 52}            |    1    |
|   0028   |{02 10 17 19 25 35 37 44 53 58}      |    2    |
|   0029   |{02 13 21 27 35 42 46 50 57}         |    1    |
|   0030   |{04 16 26 35 43 54 60}               |    0    |
|   0031   |{09 18 27 30 45 50 59}               |    0    |
|   0032   |{04 15 25 31 39 52 57}               |    1    |
|   0033   |{04 14 19 29 34 37 49 57}            |    0    |
|   0034   |{07 18 23 36 47 58}                  |    1    |
|   0035   |{02 10 17 19 27 36 41 45 50 55}      |    1    |
|   0036   |{01 09 17 28 30 37 44 53}            |    1    |
|   0037   |{09 14 29 40 46 53}                  |    1    |
|   0038   |{02 12 14 23 30 34 37 47 51 58}      |    1    |
|   0039   |{04 11 27 32 43 54}                  |    0    |
|   0040   |{06 14 23 33 42 50 57}               |    1    |
|   0041   |{01 15 20 36 42 50 56}               |    0    |
|   0042   |{06 13 19 36 37 54 56}               |    0    |
|   0043   |{07 12 18 23 29 39 48 52 57}         |    0    |
|   0044   |{05 09 20 26 32 36 48 51 57}         |    0    |
|   0045   |{02 11 18 28 35 37 47 51}            |    1    |
